winglength,bodylength,bodywidth,paperclips,foldedwings,foldedbody,time
-1,-1,-1,-1,-1,-1,4.77
1,-1,-1,-1,-1,1,5.63
-1,1,-1,-1,-1,1,4.57
1,1,-1,-1,-1,-1,4.77
-1,-1,1,-1,-1,1,4.83
1,-1,1,-1,-1,-1,5.7
-1,1,1,-1,-1,-1,4.62
1,1,1,-1,-1,1,3.62
-1,-1,-1,1,-1,1,4.56
1,-1,-1,1,-1,-1,5.91
-1,1,-1,1,-1,-1,5.8
1,1,-1,1,-1,1,3.36
-1,-1,1,1,-1,-1,4.32
1,-1,1,1,-1,1,3.21
-1,1,1,1,-1,1,3.3
1,1,1,1,-1,-1,5.98
-1,-1,-1,-1,1,1,4.7
1,-1,-1,-1,1,-1,5.82
-1,1,-1,-1,1,-1,4.8
1,1,-1,-1,1,1,4.56
-1,-1,1,-1,1,-1,4.9
1,-1,1,-1,1,1,5.82
-1,1,1,-1,1,1,4.77
1,1,1,-1,1,-1,5.9
-1,-1,-1,1,1,-1,2.8
1,-1,-1,1,1,1,3.92
-1,1,-1,1,1,1,3.52
1,1,-1,1,1,-1,5.08
-1,-1,1,1,1,1,3.42
1,-1,1,1,1,-1,3.98
-1,1,1,1,1,-1,6.37
1,1,1,1,1,1,4.45
0,0,0,0,1,1,4.48
0,0,0,0,-1,-1,4.13
0,0,0,0,-1,1,5.21
0,0,0,0,1,-1,4.3